,EPPO_CODE,synonym,ds_language,NCBI_TAXID,preferred_name,EFSA_PHT
101,DIBOMO,nodulo negro del melocotonero,es,,Apiosporina morbosa,ApiosporinaMorbosa-PHT
102,PHYOPI,blister canker of pome fruits,en,,Botryosphaeria kuwatsukai,BotryosphaeriaKuwatsukai-PHT
103,PHYOPI,physalospora canker of pome fruits,en,,Botryosphaeria kuwatsukai,BotryosphaeriaKuwatsukai-PHT
104,PHYOPI,ring rot of apple,en,,Botryosphaeria kuwatsukai,BotryosphaeriaKuwatsukai-PHT
105,PHYOPI,wart bark of apple,en,,Botryosphaeria kuwatsukai,BotryosphaeriaKuwatsukai-PHT
106,PHYOPI,ibokawabyoo,ja,,Botryosphaeria kuwatsukai,BotryosphaeriaKuwatsukai-PHT
107,PHYOPI,rinmonbyoo,ja,,Botryosphaeria kuwatsukai,BotryosphaeriaKuwatsukai-PHT
108,CERAFA,oak wilt,en,,Bretziella fagacearum,CeratocystisFagacearum-PHT
109,CERAFA,wilt of oak,en,,Bretziella fagacearum,CeratocystisFagacearum-PHT
110,CERAFA,flétrissement américain du chêne,fr,,Bretziella fagacearum,CeratocystisFagacearum-PHT
111,CERAFA,marchitez de la encina,es,,Bretziella fagacearum,CeratocystisFagacearum-PHT
112,CERAFA,marchitez del roble,es,,Bretziella fagacearum,CeratocystisFagacearum-PHT
113,CHMYAR,broom rust of spruce,en,,Chrysomyxa arctostaphyli,ChrysomyxaArctostaphyli-PHT
114,CHMYAR,ferrugem amarela da vassoura de bruxa,pt,,Chrysomyxa arctostaphyli,ChrysomyxaArctostaphyli-PHT
115,CHMYAR,ржавчина хвои ели,ru,,Chrysomyxa arctostaphyli,ChrysomyxaArctostaphyli-PHT
116,ENDCPI,stem rust of pine,en,,Cronartium pini,Cronartium-PHT
117,CRONRI,rouille du pin à cinq feuilles,fr,,Cronartium ribicola,Cronartium-PHT
118,CRONRI,rouille du pin du Lord,fr,,Cronartium ribicola,Cronartium-PHT
119,CRONRI,rouille du pin Weymouth,fr,,Cronartium ribicola,Cronartium-PHT
120,CRONRI,rouille vésiculeuse du pin blanc,fr,,Cronartium ribicola,Cronartium-PHT
121,CERAVI,sapstreak disease of maple,en,,Davidsoniella virescens,CeratocystisVirescens-PHT
122,ELSIAU,scab of sweet orange,en,,Elsinoë australis,ElsinoeAustralis-PHT
123,ELSIAU,anthracnose de l'oranger,fr,,Elsinoë australis,ElsinoeAustralis-PHT
124,ELSIAU,gale des agrumes,fr,,Elsinoë australis,ElsinoeAustralis-PHT
125,ELSIAU,antracnosis del naranjo,es,,Elsinoë australis,ElsinoeAustralis-PHT
126,ELSIAU,roña de la naranja dulce,es,,Elsinoë australis,ElsinoeAustralis-PHT
127,ELSIAU,sarna de la naranja dulce,es,,Elsinoë australis,ElsinoeAustralis-PHT
128,ELSIFA,common scab of orange,en,,Elsinoë fawcettii,ElsinoeFawcettii-PHT
129,ELSIFA,scab of citrus,en,,Elsinoë fawcettii,ElsinoeFawcettii-PHT
130,ELSIFA,scab of mango,en,,Elsinoë fawcettii,ElsinoeFawcettii-PHT
131,ELSIFA,scab of sour orange,en,,Elsinoë fawcettii,ElsinoeFawcettii-PHT
132,ELSIFA,gale commune des agrumes,fr,,Elsinoë fawcettii,ElsinoeFawcettii-PHT
133,ELSIFA,scab des agrumes,fr,,Elsinoë fawcettii,ElsinoeFawcettii-PHT
134,ELSIFA,verrues des agrumes,fr,,Elsinoë fawcettii,ElsinoeFawcettii-PHT
135,ELSIFA,costra común de los agrios,es,,Elsinoë fawcettii,ElsinoeFawcettii-PHT
136,ELSIFA,roña de los agrios,es,,Elsinoë fawcettii,ElsinoeFawcettii-PHT
137,ELSIFA,roña de los cítricos,es,,Elsinoë fawcettii,ElsinoeFawcettii-PHT
138,ELSIFA,verrugose-dos-citros,pt,,Elsinoë fawcettii,ElsinoeFawcettii-PHT
139,FUSAAL,fusarium wilt of date palm,en,,Fusarium oxysporum f. sp. albedinis,FusariumOxysporumAlbedinis-PHT
140,FUSAAL,tracheomycosis of date palm,en,,Fusarium oxysporum f. sp. albedinis,FusariumOxysporumAlbedinis-PHT
141,FUSAAL,fusariosis de la palmera de datiles,es,,Fusarium oxysporum f. sp. albedinis,FusariumOxysporumAlbedinis-PHT
142,GUIGLA,shoot blight of larch,en,,Neofusicoccum laricinum,BotryosphaeriaLaricina-PHT
143,GUIGLA,shoot blight of larch,en,,Neofusicoccum laricinum,SirococcusTsugae-PHT
144,GUIGLA,Triebsterben: Lärche,de,,Neofusicoccum laricinum,BotryosphaeriaLaricina-PHT
145,GYMNCF,rouille de l'aubépine,fr,,Gymnosporangium clavariiforme,Gymnosporangium-PHT
146,GYMNCO,rouille de l'aubépine,fr,,Gymnosporangium confusum,Gymnosporangium-PHT
147,GYMNCF,roya del espino albar,es,,Gymnosporangium clavariiforme,Gymnosporangium-PHT
148,GYMNFU,rust of juniper,en,,Gymnosporangium sabinae,Gymnosporangium-PHT
149,GYMNTR,rust of apple,en,,Gymnosporangium tremelloides,Gymnosporangium-PHT
150,INONWE,laminated butt rot of conifers,en,,Coniferiporia weirii,PhellinusWeirii-PHT
151,INONWE,root rot of conifers,en,,Coniferiporia weirii,PhellinusWeirii-PHT
152,INONWE,root rot of conifers,en,,Coniferiporia weirii,PhymatotrichopsisOmnivora-PHT
153,PHMPOM,root rot of conifers,en,,Phymatotrichopsis omnivora,PhellinusWeirii-PHT
154,PHMPOM,root rot of conifers,en,,Phymatotrichopsis omnivora,PhymatotrichopsisOmnivora-PHT
155,INONWE,yellow ring rot of conifers,en,,Coniferiporia weirii,PhellinusWeirii-PHT
156,INONWE,pourridié des racines des conifères,fr,,Coniferiporia weirii,PhellinusWeirii-PHT
157,INONWE,podredumbre de las raíces de las coníferas,es,,Coniferiporia weirii,PhellinusWeirii-PHT
158,INONWE,"Глеофиллум заборный, заборный трутовик",ru,,Coniferiporia weirii,PhellinusWeirii-PHT
159,MELMFA,rust of hemlock,en,,Melampsora farlowii,MelampsoraFarlowii-PHT
160,MELMFA,rust of tsuga,en,,Melampsora farlowii,MelampsoraFarlowii-PHT
161,MELMFA,Ржавчина тсуги,ru,,Melampsora farlowii,MelampsoraFarlowii-PHT
162,MYCOLL,needle cast of Japanese larch,en,,Mycodiella laricis-leptolepidis,MycosphaerellaLaricis-Leptolepidis-PHT
163,MYCOLL,Септориоз хвои японской лиственницы,ru,,Mycodiella laricis-leptolepidis,MycosphaerellaLaricis-Leptolepidis-PHT
164,PHOMAN,black blight of potato,en,,Stagonosporopsis andigena,StagonosporopsisAndigena-PHT
165,PHOMAN,leaf spot of potato,en,,Stagonosporopsis andigena,StagonosporopsisAndigena-PHT
166,PHOMAN,phoma leaf spot of potato,en,,Stagonosporopsis andigena,StagonosporopsisAndigena-PHT
167,PHOMAN,фомозная пятнистость листьев картофеля,ru,,Stagonosporopsis andigena,StagonosporopsisAndigena-PHT
168,PHOMAN,Черный ожог,ru,,Stagonosporopsis andigena,StagonosporopsisAndigena-PHT
169,GUIGCI,black spot of citrus,en,,Phyllosticta citricarpa,PhyllostictaCitricarpa-PHT
170,GUIGCI,freckle spot of citrus,en,,Phyllosticta citricarpa,PhyllostictaCitricarpa-PHT
171,GUIGCI,hard spot of citrus,en,,Phyllosticta citricarpa,PhyllostictaCitricarpa-PHT
172,GUIGCI,shot-hole of citrus,en,,Phyllosticta citricarpa,PhyllostictaCitricarpa-PHT
