,EPPO_CODE,preferred_name,synonym,ds_language,EFSA_PHT,re,match_language,NCBI_TAXID
100,DIBOMO,Apiosporina morbosa,nodulo negro del cerezo,es,,,,
101,DIBOMO,Apiosporina morbosa,nodulo negro del ciruelo,es,,,,
102,DIBOMO,Apiosporina morbosa,nodulo negro del melocotonero,es,,,,
103,DIBOMO,Apiosporina morbosa,черная узловатость сливы и алычи,ru,,,,
104,1ATRPG,Atropellis,,,,,,
105,PHYOPI,Botryosphaeria kuwatsukai,blister canker of pome fruits,en,,,,
106,PHYOPI,Botryosphaeria kuwatsukai,physalospora canker of pome fruits,en,,,,
107,PHYOPI,Botryosphaeria kuwatsukai,ring rot of apple,en,,,,
108,PHYOPI,Botryosphaeria kuwatsukai,wart bark of apple,en,,,,
109,PHYOPI,Botryosphaeria kuwatsukai,Krebs: Apfel,de,,,,
110,PHYOPI,Botryosphaeria kuwatsukai,Krebs: Birne,de,,,,
111,PHYOPI,Botryosphaeria kuwatsukai,ibokawabyoo,ja,,,,
112,PHYOPI,Botryosphaeria kuwatsukai,rinmonbyoo,ja,,,,
113,CERAFA,Bretziella fagacearum,oak wilt,en,,,,
114,CERAFA,Bretziella fagacearum,wilt of oak,en,,,,
115,CERAFA,Bretziella fagacearum,amerikanische Welke: Eiche,de,,,,
116,CERAFA,Bretziella fagacearum,Welke: Eiche,de,,,,
117,CERAFA,Bretziella fagacearum,flétrissement américain du chêne,fr,,,,
118,CERAFA,Bretziella fagacearum,marchitez de la encina,es,,,,
119,CERAFA,Bretziella fagacearum,marchitez del roble,es,,,,
120,CERAFA,Bretziella fagacearum,Сосудистый микоз дуба,ru,,,,
121,CHMYAR,Chrysomyxa arctostaphyli,broom rust of spruce,en,,,,
122,CHMYAR,Chrysomyxa arctostaphyli,common yellow witches' broom rust,en,,,,
123,CHMYAR,Chrysomyxa arctostaphyli,Nadelrost: Fichte,de,,,,
124,CHMYAR,Chrysomyxa arctostaphyli,ferrugem amarela da vassoura de bruxa,pt,,,,
125,CHMYAR,Chrysomyxa arctostaphyli,ржавчина хвои ели,ru,,,,
126,1CRONG,Cronartium,,,,,,
127,ENDCPI,Cronartium pini,blister rust of Scots pine,en,,,,
128,ENDCPI,Cronartium pini,resin canker of pine,en,,,,
129,ENDCPI,Cronartium pini,resin top disease of pine,en,,,,
130,ENDCPI,Cronartium pini,stem rust of pine,en,,,,
131,ENDCPI,Cronartium pini,Rindenblasenrost: Kiefer,de,,,,
132,ENDCPI,Cronartium pini,rouille américaine du groseillier,fr,,,,
133,ENDCPI,Cronartium pini,roya americana del grosellero,es,,,,
134,CRONRI,Cronartium ribicola,blister rust of white pine,en,,,,
135,CRONRI,Cronartium ribicola,rust of currant,en,,,,
136,CRONRI,Cronartium ribicola,rust of gooseberry,en,,,,
137,CRONRI,Cronartium ribicola,Blasenrost: Weymouthskiefer,de,,,,
138,CRONRI,Cronartium ribicola,Säulenrost: Johannisbeere,de,,,,
139,CRONRI,Cronartium ribicola,Säulenrost: Stachelbeere,de,,,,
140,CRONRI,Cronartium ribicola,chancre du pin Weymouth,fr,,,,
141,CRONRI,Cronartium ribicola,rouille asiatique du groseillier,fr,,,,
142,CRONRI,Cronartium ribicola,rouille du pin à cinq feuilles,fr,,,,
143,CRONRI,Cronartium ribicola,rouille du pin du Lord,fr,,,,
144,CRONRI,Cronartium ribicola,rouille du pin Weymouth,fr,,,,
145,CRONRI,Cronartium ribicola,rouille en colonnettes du cassissier,fr,,,,
146,CRONRI,Cronartium ribicola,rouille vésiculeuse du pin blanc,fr,,,,
147,CRONRI,Cronartium ribicola,roya del casis,es,,,,
148,CRONRI,Cronartium ribicola,roya del grosellero negro,es,,,,
149,CRONRI,Cronartium ribicola,filtrust,da,,,,
150,CRONRI,Cronartium ribicola,serbentinė veimutrudė,lt,,,,
151,CERAVI,Davidsoniella virescens,sapstreak disease of maple,en,,,,
152,ELSIAU,Elsinoë australis,scab of sweet orange,en,,,,
153,ELSIAU,Elsinoë australis,anthracnose de l'oranger,fr,,,,
154,ELSIAU,Elsinoë australis,gale des agrumes,fr,,,,
155,ELSIAU,Elsinoë australis,antracnosis del naranjo,es,,,,
156,ELSIAU,Elsinoë australis,roña de la naranja dulce,es,,,,
157,ELSIAU,Elsinoë australis,sarna de la naranja dulce,es,,,,
158,ELSICI,Elsinoë citricola,,,,,,
159,ELSIFA,Elsinoë fawcettii,common scab of orange,en,,,,
160,ELSIFA,Elsinoë fawcettii,scab of citrus,en,,,,
161,ELSIFA,Elsinoë fawcettii,scab of mango,en,,,,
162,ELSIFA,Elsinoë fawcettii,scab of sour orange,en,,,,
163,ELSIFA,Elsinoë fawcettii,Fleckenanthraknose: Zitrus,de,,,,
164,ELSIFA,Elsinoë fawcettii,Schorf: Zitrus,de,,,,
165,ELSIFA,Elsinoë fawcettii,gale commune des agrumes,fr,,,,
166,ELSIFA,Elsinoë fawcettii,scab des agrumes,fr,,,,
167,ELSIFA,Elsinoë fawcettii,verrues des agrumes,fr,,,,
168,ELSIFA,Elsinoë fawcettii,costra común de los agrios,es,,,,
169,ELSIFA,Elsinoë fawcettii,roña de los agrios,es,,,,
170,ELSIFA,Elsinoë fawcettii,roña de los cítricos,es,,,,
171,ELSIFA,Elsinoë fawcettii,verrugose-dos-citros,pt,,,,
172,FUSAAL,Fusarium oxysporum f. sp. albedinis,bayoud disease of date palm,en,,,,
173,FUSAAL,Fusarium oxysporum f. sp. albedinis,fusarium wilt of date palm,en,,,,
174,FUSAAL,Fusarium oxysporum f. sp. albedinis,tracheomycosis of date palm,en,,,,
175,FUSAAL,Fusarium oxysporum f. sp. albedinis,maladie du bayoud du palmier dattier,fr,,,,
176,FUSAAL,Fusarium oxysporum f. sp. albedinis,fusariosis de la palmera de datiles,es,,,,
177,GUIGLA,Neofusicoccum laricinum,shoot blight of larch,en,,,,
178,GUIGLA,Neofusicoccum laricinum,twig die-back of larch,en,,,,
179,GUIGLA,Neofusicoccum laricinum,Triebsterben: Lärche,de,,,,
180,1GYMNG,Gymnosporangium,,,,,,
181,GYMNCF,Gymnosporangium clavariiforme,Rost: Wacholder,de,,,,
182,GYMNCF,Gymnosporangium clavariiforme,Rost: Weißdorn,de,,,,
183,GYMNCF,Gymnosporangium clavariiforme,rouille de l'aubépine,fr,,,,
184,GYMNCF,Gymnosporangium clavariiforme,roya del espino albar,es,,,,
185,GYMNCF,Gymnosporangium clavariiforme,решётчатая ржавчина яблони,ru,,,,
186,GYMNCO,Gymnosporangium confusum,Rost: Eberesche,de,,,,
187,GYMNCO,Gymnosporangium confusum,Rost: Weißdorn,de,,,,
188,GYMNCO,Gymnosporangium confusum,rouille de l'aubépine,fr,,,,
189,GYMNCO,Gymnosporangium confusum,rouille de Plowright du poirier,fr,,,,
190,GYMNCO,Gymnosporangium confusum,rouille du néflier,fr,,,,
191,GYMNCO,Gymnosporangium confusum,roya de plowright del peral,es,,,,
192,GYMNCR,Gymnosporangium cornutum,,,,,,
193,GYMNFU,Gymnosporangium sabinae,rust of juniper,en,,,,
194,GYMNFU,Gymnosporangium sabinae,trellis rust of pear,en,,,,
195,GYMNFU,Gymnosporangium sabinae,Birnengitterrost,de,,,,
196,GYMNFU,Gymnosporangium sabinae,Gitterrost: Birne,de,,,,
